INFO 2022-01-19 11:25:50,359 -> 127.0.0.1 - - [19/Jan/2022 11:25:50] "GET /final?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
INFO 2022-01-19 11:25:50,369 -> 127.0.0.1 - - [19/Jan/2022 11:25:50] "GET /final?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
INFO 2022-01-19 11:25:50,380 -> 127.0.0.1 - - [19/Jan/2022 11:25:50] "GET /final?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
INFO 2022-01-19 11:25:59,615 ->  * Detected change in 'c:\\Users\\anime\\OneDrive\\Desktop\\Bankbot2-main\\app.py', reloading
INFO 2022-01-19 11:25:59,878 ->  * Restarting with stat
WARNING 2022-01-19 11:26:02,616 ->  * Debugger is active!
INFO 2022-01-19 11:26:02,626 ->  * Debugger PIN: 119-950-930
INFO 2022-01-19 11:26:02,808 ->  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-01-19 11:26:06,326 -> 127.0.0.1 - - [19/Jan/2022 11:26:06] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:26:29,909 -> 127.0.0.1 - - [19/Jan/2022 11:26:29] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:26:30,103 -> 127.0.0.1 - - [19/Jan/2022 11:26:30] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:26:30,306 -> 127.0.0.1 - - [19/Jan/2022 11:26:30] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:48:59,182 ->  * Detected change in 'c:\\Users\\anime\\OneDrive\\Desktop\\Bankbot2-main\\app.py', reloading
INFO 2022-01-19 11:48:59,425 ->  * Restarting with stat
INFO 2022-01-19 11:49:08,418 ->  * Restarting with stat
WARNING 2022-01-19 11:49:11,492 ->  * Debugger is active!
INFO 2022-01-19 11:49:11,501 ->  * Debugger PIN: 119-950-930
INFO 2022-01-19 11:49:11,670 ->  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-01-19 11:49:38,107 -> 127.0.0.1 - - [19/Jan/2022 11:49:38] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:49:38,471 -> 127.0.0.1 - - [19/Jan/2022 11:49:38] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:49:38,618 -> 127.0.0.1 - - [19/Jan/2022 11:49:38] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:50:03,981 -> 127.0.0.1 - - [19/Jan/2022 11:50:03] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:50:41,111 -> 127.0.0.1 - - [19/Jan/2022 11:50:41] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:51:09,043 -> 127.0.0.1 - - [19/Jan/2022 11:51:09] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:51:20,834 -> 127.0.0.1 - - [19/Jan/2022 11:51:20] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:51:28,690 -> 127.0.0.1 - - [19/Jan/2022 11:51:28] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:52:00,628 -> 127.0.0.1 - - [19/Jan/2022 11:52:00] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:52:01,038 -> 127.0.0.1 - - [19/Jan/2022 11:52:01] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:52:01,187 -> 127.0.0.1 - - [19/Jan/2022 11:52:01] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:52:01,328 -> 127.0.0.1 - - [19/Jan/2022 11:52:01] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:52:11,236 -> 127.0.0.1 - - [19/Jan/2022 11:52:11] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:52:11,597 -> 127.0.0.1 - - [19/Jan/2022 11:52:11] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:52:11,722 -> 127.0.0.1 - - [19/Jan/2022 11:52:11] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:52:18,323 -> 127.0.0.1 - - [19/Jan/2022 11:52:18] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:52:18,622 -> 127.0.0.1 - - [19/Jan/2022 11:52:18] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 11:52:18,744 -> 127.0.0.1 - - [19/Jan/2022 11:52:18] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 12:00:17,620 -> 127.0.0.1 - - [19/Jan/2022 12:00:17] "GET /final HTTP/1.1" 200 -
